Model,Rating,LastMonth,MRP,Discount,Discount%,Revenue,PriceSegment,Brand
Lenovo IdeaPad,4.0,50.0,74890,58190,22.3,2909500.0,Mid-Range,lenovo
Unknown,4.1,50.0,53000,42990,18.89,2149500.0,Mid-Range,unknown
Unknown,4.1,500.0,50903,34990,31.26,17495000.0,Mid-Range,unknown
Unknown,3.9,50.0,106331,79990,24.77,3999500.0,Premium,unknown
ASUS Zenbook,0.0,50.0,290990,239990,17.53,11999500.0,Premium,asus
Lenovo IdeaPad,0.0,50.0,59090,42490,28.09,2124500.0,Mid-Range,lenovo
MSI Thin,4.0,50.0,82990,63583,23.38,3179150.0,Premium,msi
HP Envy,4.2,50.0,98999,82700,16.46,4135000.0,Premium,hp
Unknown,4.0,100.0,97867,72899,25.51,7289900.0,Premium,unknown
Unknown,4.0,400.0,86890,64690,25.55,25876000.0,Premium,unknown
Acer Aspire,3.4,50.0,30999,22990,25.84,1149500.0,Budget,acer
Lenovo V15,3.8,50.0,82990,32390,60.97,1619500.0,Mid-Range,lenovo
HP 15,3.3,100.0,56831,41990,26.11,4199000.0,Mid-Range,hp
Acer Aspire,0.0,50.0,51999,33990,34.63,1699500.0,Mid-Range,acer
Dell Latitude,4.5,50.0,157262,54611,65.27,2730550.0,Mid-Range,dell
HP Laptop,0.0,50.0,95000,63000,33.68,3150000.0,Premium,hp
Lenovo IdeaPad,4.0,50.0,74890,58190,22.3,2909500.0,Mid-Range,lenovo
Unknown,3.6,100.0,44990,24990,44.45,2499000.0,Budget,unknown
Lenovo IdeaPad,4.0,100.0,56490,37380,33.83,3738000.0,Mid-Range,lenovo
Lenovo V15,3.8,50.0,82990,32390,60.97,1619500.0,Mid-Range,lenovo
HP 15,2.9,50.0,80755,67990,15.81,3399500.0,Premium,hp
Lenovo Yoga,5.0,50.0,195890,118990,39.26,5949500.0,Premium,lenovo
Lenovo V15,3.7,50.0,51990,32940,36.64,1647000.0,Mid-Range,lenovo
Lenovo IdeaPad,4.1,100.0,58890,33700,42.77,3370000.0,Mid-Range,lenovo
Lenovo IdeaPad,3.0,50.0,130090,83990,35.44,4199500.0,Premium,lenovo
Unknown,3.8,100.0,53413,37990,28.87,3799000.0,Mid-Range,unknown
Acer Aspire,0.0,50.0,51999,33990,34.63,1699500.0,Mid-Range,acer
